ROWNUM;FullName;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;POINT_X;POINT_Y;GLOBALID;
33;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Северо-Восточному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по СВАО МНПЦ БТ ДЗМ";"Северо-Восточный административный округ";"район Ростокино";"127254";"улица Докукина, дом 18";"Дитятков Александр Елизарович";"заведующий филиалом";"мужской";"(499) 187-16-49";"(499) 187-78-72";"(499) 187-96-90";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.648163";"55.842725";"85130992";
34;"Государственное казенное учреждение здравоохранения города Москвы «Структурное подразделение филиала Московского городского научно-практического центра борьбы с туберкулезом по Восточному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ СП филиала по ВАО МНПЦ БТ ДЗМ";"Восточный административный округ";"район Перово";"111399";"улица Металлургов, дом 37";"Левченко Марина Владимировна";"заведующий филиалом";"женский";"(495) 304-02-02";"(495) 304-98-54";"(495) 304-02-02";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.799361";"55.761258";"85130994";
36;"Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 2 филиал Городской онкологической больницы № 62 Департамента здравоохранения города Москвы»";"ГБУЗ ОД № 2 филиал ГОБ № 62 ДЗМ";"Северный административный округ";"Войковский район";"125130";"Старопетровский проезд, дом 6";"Радлевич Вадим Валерианович";"заведующий филиалом";"мужской";"(499) 150-15-19";"(495) 666-30-12";"(495) 666-30-15";"info@od2.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-16:00; воскресенье выходной";"";"онкологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Войковская (выход к к/т «Варшава»), авт. № 90, 114 (1 остановка).";"37.503359";"55.823327";"85131005";
41;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Центральный Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Центральный ДЗМ";"Центральный административный округ";"Тверской район";"127473";"Селезнёвская улица, дом 20";"Жукова Ольга Валентиновна";"заведующий филиалом";"женский";"(499) 973-54-17";"(499) 978-05-36";"(499) 973-36-50";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.606319";"55.780352";"87755781";
52;"Государственное бюджетное учреждение здравоохранения города Москвы «Центр профилактической дерматологии филиал Московского центра дерматовенерологии и косметологии Департамента здравоохранения города Москвы»";"ГБУЗ ЦПД филиал МНПЦДК ДЗМ";"Южный административный округ";"Донской район";"115419";"улица Шаболовка, дом 46, корпус 2";"Маджид Хишмит Хамид";"заведующий филиалом";"мужской";"(495) 952-27-94";"(495) 954-39-87";"(495) 952-27-94";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.605716";"55.714448";"87755792";
70;"Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 3 филиал Городской клинической больницы № 57 Департамента здравоохранения города Москвы»";"ГБУЗ ОД № 3 филиал ГКБ № 57 ДЗМ";"Восточный административный округ";"район Измайлово";"105264";"Верхняя Первомайская улица, дом 29";"Стражев Сергей Васильевич";"заведующий филиалом";"мужской";"(499) 163-05-22";"(499) 165-83-40";"(499) 163-05-22";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"онкологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.789247";"55.799481";"87776613";
71;"Государственное бюджетное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Зеленоградскому административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ЗелАО МНПЦ БТ ДЗМ";"Зеленоградский административный округ";"район Матушкино";"124305";"город Зеленоград, 1-й Западный проезд, дом 8, строение 1";"Соколова Наталья Николаевна";"заведующий филиалом";"женский";"(499) 734-52-27";"(499) 734-52-27";"(499) 734-52-27";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.196115";"56.010248";"87776614";
72;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 1 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 1 ДЗМ";"Центральный административный округ";"район Замоскворечье";"115035";"Садовническая улица, дом 73, строение 2";"Глазкова Людмила Ивановна";"заведующий филиалом";"женский";"(495) 951-85-01";"(495) 951-83-87";"(495) 951-85-01";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.643129";"55.736452";"87776615";
73;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 9 Департамента здравоохранения города Москвы». Филиал";"ГКУЗ МНПЦ Н филиал № 9 ДЗМ. Филиал";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"123103";"проспект Маршала Жукова, дом 64, корпус 2";"Глазкова Людмила Ивановна";"заведующий филиалом";"женский";"(495) 951-85-01";"(495) 951-83-87";"(495) 951-85-01";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.458585";"55.779454";"87776616";
74;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 2 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 2 ДЗМ";"Северный административный округ";"Хорошёвский район";"123308";"Куусинена улица, дом 4, корпус 3";"Долгий Сергей Владимирович";"заведующий филиалом";"мужской";"(499) 195-00-50";"(499) 195-30-05";"(499) 195-00-50";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.517758";"55.779709";"87776617";
75;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 3 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 3 ДЗМ";"Северо-Восточный административный округ";"Лосиноостровский район";"129336";"Таймырская улица, дом 8, корпус 1";"Зимина Татьяна Анатольевна";"заведующий филиалом";"женский";"(495) 474-78-38";"(495) 474-77-01";"(495) 474-78-38";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.702336";"55.884799";"87776618";
76;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 4 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 4 ДЗМ";"Восточный административный округ";"район Соколиная Гора";"105187";"Щербаковская улица, дом 57/20";"Полятыкин Сергей Анатольевич";"заведующий филиалом";"мужской";"(499) 166-73-54";"(499) 166-76-38";"(499) 166-73-54";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.741548";"55.783391";"87776619";
77;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 5 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 5 ДЗМ";"Юго-Восточный административный округ";"район Кузьминки";"109462";"Маршала Чуйкова улица, дом 24";"Власовских Роман Владимирович";"заведующий филиалом";"мужской";"(499) 178-18-45";"(499) 178-31-94";"(499) 178-18-45";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.760483";"55.698596";"87776620";
78;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 6 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 6 ДЗМ";"Южный административный округ";"Даниловский район";"115280";"2-й Автозаводский проезд, дом 4, строение 1";"Бегунов Валентин Иванович";"заведующий филиалом";"мужской";"(495) 675-45-97";"(495) 675-24-46";"(495) 675-45-97";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.659007";"55.705685";"87776621";
79;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 7 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 7 ДЗМ";"Юго-Западный административный округ";"Академический район";"117449";"Шверника улица, дом 10А";"Зыков Олег Владимирович";"заведующий филиалом";"мужской";"(499) 126-34-75";"(499) 126-25-01";"(499) 126-34-75";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.585239";"55.691323";"87776622";
80;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 8 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 8 ДЗМ";"Западный административный округ";"район Филёвский Парк";"121096";"Барклая улица, дом 5, строение 6";"Трухачев Сергей Васильевич";"заведующий филиалом";"мужской";"(499) 145-00-44";"(499) 145-00-11";"(499) 145-00-44";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.502897";"55.739267";"87776623";
81;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 8 Департамента здравоохранения города Москвы». Филиал 1";"ГБУЗ МНПЦ Н филиал № 8 ДЗМ. Филиал 1";"Западный административный округ";"район Филёвский Парк";"121108";"Кастанаевская улица, дом 26";"Трухачев Сергей Васильевич";"заведующий филиалом";"мужской";"(499) 145-00-44";"(499) 145-00-11";"(499) 145-00-44";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.489372";"55.738103";"87776624";
82;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 8 Департамента здравоохранения города Москвы». Филиал 2";"ГБУЗ МНПЦ Н филиал № 8 ДЗМ. Филиал 2";"Западный административный округ";"район Филёвский Парк";"196340";"Боровское шоссе, дом 46";"Трухачев Сергей Васильевич";"заведующий филиалом";"мужской";"(499) 145-00-44";"(499) 145-00-11";"(499) 145-00-44";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.348042";"55.636234";"87776625";
83;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 9 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 9 ДЗМ";"Северо-Западный административный округ";"район Покровское-Стрешнево";"125362";"Мещерякова улица, дом 4, корпус 1";"Панченко Светлана Эдуардовна";"заведующий филиалом";"женский";"(495) 491-64-14";"(495) 491-66-82";"(495) 491-64-14";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.449858";"55.832861";"87776626";
84;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 9 Департамента здравоохранения города Москвы». Филиал 1";"ГБУЗ МНПЦ Н филиал № 9 ДЗМ. Филиал 1";"Юго-Западный административный округ";"Ломоносовский район";"119313";"Ленинский проспект, дом 89А";"Панченко Светлана Эдуардовна";"заведующий филиалом";"женский";"(495) 491-64-14";"(495) 491-66-82";"(495) 491-64-14";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.532757";"55.676606";"87776627";
85;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 9 Департамента здравоохранения города Москвы». Филиал 2";"ГБУЗ МНПЦ Н филиал № 9 ДЗМ. Филиал 2";"Юго-Западный административный округ";"район Северное Бутово";"117216";"Грина улица, дом 3, корпус 2";"Панченко Светлана Эдуардовна";"заведующий филиалом";"женский";"(495) 491-64-14";"(495) 491-66-82";"(495) 491-64-14";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.576048";"55.565223";"87776628";
86;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр наркологии филиал № 10 Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦ Н филиал № 10 ДЗМ";"Зеленоградский административный округ";"район Савёлки";"124489";"город Зеленоград, Каштановая аллея улица, дом 8, строение 1";"Квасов Сергей Викторович";"заведующий филиалом";"мужской";"(499) 734-91-33";"(499) 736-47-62";"(499) 734-91-33";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.237364";"55.983838";"87776629";
87;"Государственное бюджетное учреждение здравоохранения города Москвы «Центр профилактики и лечения табачной и нехимических зависимостей филиал Московского научно-практического центра наркологии Департамента здравоохранения города Москвы»";"ЦПЛТиНЗ (филиал МНПЦ Н)";"Центральный административный округ";"район Хамовники";"119034";"Остоженка улица, дом 53А";"Кутушев Олег Талгатович";"заведующий филиалом";"мужской";"(499) 245-07-48";"(499) 245-03-85";"(499) 245-07-48";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"наркологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.595551";"55.736567";"87776630";
90;"Государственное казенное учреждение здравоохранения города Москвы «Городской клинико-диагностический центр Московского городского научно-практического центра борьбы с туберкулезом Департамента здравоохранения города Москвы»";"ГКУЗ КДЦ филиал МНПЦ БТ ДЗМ";"Восточный административный округ";"район Преображенское";"107061";"улица Преображенский Вал, дом 19";"Борисов Сергей Евгеньевич";"заведующий филиалом";"мужской";"(499) 161-02-30";"(499) 161-23-61";"(499) 161-23-61";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.716471";"55.792326";"89099132";
91;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии Центр детской дерматологии и косметологии Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК центр детской дерматологии и косметологии ДЗМ";"Северо-Восточный административный округ";"Останкинский район";"129085";"улица Бочкова, дом 4А";"Турбовская Светлана Николаевна";"заведующий филиалом";"женский";"(495) 602-47-30";"(495) 602-47-31";"(495) 602-47-30";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.634774";"55.811328";"91994450";
